Airport,total_flights,delay_rate,avg_delay,avg_temp,avg_wind,avg_precip,lat,lon,country,continent
BLI,2522,0.14472640761300556,6.613005551149881,10.98481363996828,9.745202220459953,0.16708961141950832,48.7928009,-122.538002,US,
BLV,1066,0.24671669793621012,20.96060037523452,18.571951219512197,11.672607879924954,0.15534709193245777,38.5452,-89.835197,US,
BMI,1717,0.1485148514851485,10.213744903902155,13.411997670355271,15.09138031450204,0.09481654047757718,40.4771,-88.915901,US,
BNA,98716,0.20232789010899954,11.681571376473926,17.902155678917296,10.62975100287694,0.18373819846833342,36.1245,-86.6782,US,
BOI,22686,0.1457286432160804,6.627611742925152,13.606210878956185,10.662002997443357,0.0451027065150313,43.5644,-116.223,US,
BOS,141052,0.20102515384397243,11.936633298358052,12.51188781442305,14.06887247256331,0.12255125769219861,42.36197,-71.0079,US,
BPT,715,0.1258741258741259,9.36923076923077,21.982237762237762,12.11048951048951,0.2332867132867133,29.9508,-94.020699,US,
BQK,793,0.1828499369482976,15.645649432534679,20.273644388398488,12.803152585119797,0.15624211853720052,31.258801,-81.466499,US,
BQN,2402,0.2568692756036636,16.73480432972523,25.158909242298083,12.544504579517069,0.16665278934221484,18.4949,-67.129402,PR,
BRD,645,0.14108527131782947,7.299224806201551,10.018759689922481,13.38403100775194,0.045116279069767444,46.402861,-94.129727,US,
BRO,1921,0.15773034877667882,9.01093180635086,26.24456012493493,16.520041644976576,0.1070796460176991,25.907238,-97.425235,US,
BRW,345,0.2782608695652174,9.594202898550725,-7.235362318840579,21.667536231884057,0.036811594202898555,71.285402,-156.766008,US,
BTM,690,0.057971014492753624,-4.975362318840579,9.852173913043478,9.467391304347826,0.03202898550724638,45.95479965,-112.4970016,US,
BTR,4814,0.18508516825924387,12.758412962193603,21.594121312837558,10.781013710012465,0.17976734524304114,30.533199,-91.149597,US,
BTV,7942,0.14668849156383781,10.29740619491312,11.63028204482498,12.270511206245278,0.1311634349030471,44.471901,-73.153297,US,
BUF,21632,0.1815366124260355,11.074426775147929,12.219614460059173,12.247087647928995,0.1480353180473373,42.940498,-78.732201,US,
BUR,30203,0.1882594444260504,9.54441611760421,20.14680329768566,8.015276628149522,0.04559149753335762,34.202834,-118.35805,US,
BWI,97251,0.2853543922427533,15.285755416396746,15.660800403080689,11.109356201992782,0.153161407080647,39.1754,-76.668297,US,
BZN,10088,0.17228390166534496,10.982454401268834,11.148731165741474,6.437579302141158,0.0639274385408406,45.778853,-111.153711,US,
CAE,6694,0.15192709889453243,9.196444577233343,18.62980280848521,11.109471168210337,0.14884971616372872,33.938172,-81.123022,US,
CAK,3424,0.19158878504672897,14.650116822429906,12.752570093457944,12.224532710280375,0.13303154205607476,40.91609955,-81.44219971,US,
CDC,624,0.10256410256410256,3.8141025641025643,13.992628205128204,10.238141025641026,0.03141025641025641,37.70100021,-113.098999,US,
CDV,704,0.16477272727272727,-0.7698863636363636,6.378551136363637,11.80653409090909,0.4258522727272727,60.491798,-145.477997,US,
CHA,6760,0.1863905325443787,12.519674556213017,17.681997041420118,8.98715976331361,0.13514792899408284,35.035301,-85.203796,US,
CHO,3128,0.1425831202046036,10.172314578005116,16.173369565217392,7.830786445012788,0.10220588235294117,38.1385994,-78.45290375,US,
CHS,25208,0.179823865439543,11.354093938432245,20.821080609330373,12.007692002538878,0.16856156775626788,32.896159,-80.038151,US,
CID,7925,0.18246056782334386,15.49981072555205,12.678675078864353,14.730460567823343,0.11163406940063092,41.884701,-91.7108,US,
CIU,717,0.19386331938633194,23.90655509065551,7.862482566248256,12.342538354253836,0.09553695955369595,46.242038,-84.462082,US,
CKB,202,0.35148514851485146,37.024752475247524,16.733168316831684,9.808415841584159,0.1198019801980198,39.2966,-80.228104,US,
CLE,40331,0.1729934789615928,10.219111849445836,13.142451216186059,14.783642855371799,0.15461803575413452,41.411701,-81.8498,US,
CLL,1092,0.1804029304029304,13.482600732600732,21.775274725274723,12.559798534798533,0.17216117216117216,30.5886,-96.3638,US,
CLT,214096,0.26401240564980194,18.341421605261193,18.287706449443238,10.209616246917271,0.13706795082579779,35.2140007,-80.94309998,US,
CMH,41706,0.16007289119071597,8.923919819690212,13.742955450055147,11.284026279192442,0.13589411595453893,39.998001,-82.891899,US,
CMI,1360,0.18676470588235294,15.375,13.737058823529413,14.543235294117647,0.12411764705882354,40.039819,-88.276249,US,
CMX,699,0.23462088698140202,19.23319027181688,8.034907010014306,12.359370529327611,0.09628040057224606,47.16839981,-88.4890976,US,
CNY,29,0.10344827586206896,3.413793103448276,3.7620689655172415,5.889655172413793,0.013793103448275864,38.755001,-109.754997,US,
COD,624,0.23557692307692307,17.096153846153847,15.342307692307694,8.89198717948718,0.031089743589743587,44.520199,-109.024002,US,
COS,12487,0.1717786497957876,10.177304396572435,12.209393769520302,9.4714823416353,0.046648514455033235,38.805801,-104.700996,US,
COU,1740,0.22413793103448276,15.264942528735633,15.556379310344827,11.18080459770115,0.10545977011494252,38.8181,-92.219597,US,
CPR,1756,0.13610478359908884,6.62756264236902,13.764920273348519,17.30723234624146,0.018394077448747156,42.907381,-106.461609,US,
CRP,3801,0.15706393054459353,8.621941594317285,23.79865824782952,15.03114969744804,0.13562220468297817,27.770399,-97.501198,US,
CRW,3385,0.22067946824224519,19.125258493353027,14.952939438700147,9.652998522895126,0.13090103397341213,38.3731,-81.593201,US,
CSG,979,0.15628192032686414,12.941777323799796,19.677834525025535,10.008478038815117,0.16138917262512767,32.516415,-84.939602,US,
CVG,40595,0.16866609188323686,10.396181795787658,14.865113930286983,11.319706860450795,0.13813277497228724,39.048801,-84.667801,US,
CWA,725,0.0993103448275862,3.555862068965517,9.350344827586207,12.884689655172414,0.08620689655172414,44.777448,-89.670238,US,
CYS,665,0.09924812030075188,8.16842105263158,10.038345864661654,17.526165413533835,0.038496240601503764,41.155701,-104.811997,US,
DAB,2815,0.14955595026642984,8.85683836589698,23.33222024866785,12.167246891651866,0.18898756660746002,29.18255,-81.059464,US,
DAL,71740,0.25416782826874823,13.928338444382492,21.3347992751603,14.297628937831057,0.15635628659046558,32.844776,-96.847653,US,
DAY,7529,0.14304688537654403,8.518926816310268,13.501846194713773,12.114371098419445,0.14786824279452782,39.902401,-84.219398,US,
DCA,137467,0.19523231029992652,12.049597357911352,15.749974903067644,10.28348694595794,0.13649384943295484,38.8521,-77.037697,US,
DDC,604,0.1605960264900662,22.513245033112582,17.172847682119205,16.623675496688744,0.037086092715231785,37.76340103,-99.96559906,US,
DEC,760,0.19473684210526315,26.20394736842105,14.837894736842104,14.808157894736842,0.06973684210526315,39.83459854,-88.86569977,US,
DEN,304323,0.23137258767822347,13.179621651994756,14.123009434055263,11.701803347101599,0.043941470082773895,39.860027,-104.673792,US,
DFW,306872,0.2745737636539013,18.837808597721526,21.882330417894106,13.909552842879116,0.1498025235277249,32.896801,-97.038002,US,
DHN,758,0.13060686015831136,10.052770448548813,20.060026385224276,11.280606860158313,0.17941952506596306,31.32130051,-85.44960022,US,
DIK,654,0.10244648318042814,12.076452599388379,8.589449541284404,17.415137614678898,0.04434250764525994,46.797533,-102.801905,US,
DLG,107,0.12149532710280374,2.177570093457944,11.725233644859813,15.618691588785047,0.17757009345794392,59.04470062,-158.5050049,US,
DLH,2209,0.15210502489814395,11.217292892711635,8.898506111362607,14.120552286102308,0.10443639655952919,46.841873,-92.198746,US,
DRO,3782,0.16287678476996298,11.672659968270755,10.807191961924909,7.931914331041777,0.06602326811211,37.151501,-107.753998,US,
DSM,15038,0.17449128873520414,13.262335416943742,12.606490224763931,14.298430642372654,0.1371525468812342,41.534027,-93.656719,US,
DTW,129723,0.1831595013991351,11.15601705171789,12.891599022532626,12.338108122692198,0.11319195516600758,42.21377,-83.353786,US,
DVL,644,0.13664596273291926,19.580745341614907,9.339130434782609,17.026708074534163,0.06972049689440994,48.115454,-98.908796,US,
EAR,102,0.13725490196078433,23.352941176470587,3.033333333333333,11.933333333333334,0.050980392156862744,40.727001,-99.006798,US,
EAU,29,0.2413793103448276,25.689655172413794,-3.1965517241379313,11.10689655172414,0.10689655172413794,44.86579895,-91.48429871,US,
ECP,8273,0.20669648253354286,12.490269551553245,23.82139489906926,11.221104798742898,0.28897618759821103,30.357106,-85.795414,US,
EGE,3737,0.22665239496922665,21.467754883596466,5.5715279636071715,6.532780305057533,0.033154937115333155,39.64260101,-106.9179993,US,
EKO,364,0.046703296703296704,-0.06043956043956044,6.032142857142857,6.598076923076922,0.031868131868131866,40.82490158,-115.7919998,US,
ELM,999,0.21121121121121122,21.20920920920921,10.588488488488489,9.763463463463465,0.14524524524524524,42.15990067,-76.89160156,US,
ELP,17298,0.17389293559949126,9.94369291247543,20.933535668863453,12.893114810960805,0.012417620534165801,31.809908,-106.375607,US,
ESC,645,0.14728682170542637,10.26046511627907,10.613333333333333,13.387286821705425,0.09255813953488373,45.723199,-87.088623,US,
EUG,7067,0.1700863166831753,11.514079524550729,12.616824678081223,9.788792981463137,0.14537993490873075,44.124599,-123.211998,US,
EVV,2074,0.16682738669238187,11.436837029893924,16.775265188042432,11.739151398264223,0.11128254580520733,38.03699875,-87.53240204,US,
EWN,47,0.40425531914893614,68.40425531914893,26.41063829787234,9.670212765957446,0.21702127659574466,35.07300186,-77.04290009,US,
EWR,125428,0.2161558822591447,13.936935931370986,14.069506011416909,11.968064546991101,0.12249657173836782,40.6894,-74.170545,US,
EYW,7659,0.2502937720329025,20.28711320015668,25.154589371980677,21.177007442224834,0.10870870870870872,24.556119,-81.759579,US,
FAI,3409,0.17131123496626577,6.465532414197712,1.6386623643297153,7.511968319155177,0.06594309181578176,64.815102,-147.856003,US,
FAR,6636,0.16998191681735986,12.928571428571429,8.81143761301989,13.762869198312236,0.0902200120554551,46.9207,-96.815804,US,
FAT,11675,0.18312633832976447,11.541327623126339,19.170997858672376,7.355400428265525,0.04067665952890792,36.775767,-119.718018,US,
FAY,1496,0.14572192513368984,11.79946524064171,17.977874331550804,11.71196524064171,0.11831550802139038,34.991199,-78.880302,US,
FCA,3804,0.15956887486855942,11.871976866456361,12.017981072555205,7.068375394321766,0.07878548895899053,48.310501,-114.255997,US,
FLG,1838,0.14200217627856365,11.333514689880305,11.50739934711643,11.519640914036996,0.05119695321001088,35.139757,-111.669826,US,
FLL,90121,0.27142397443437155,17.14534903074755,24.74687697650936,13.821855061528389,0.22857047746918033,26.072599,-80.152702,US,
FNT,2178,0.1891643709825528,13.838842975206612,10.552479338842975,13.211983471074381,0.1189623507805326,42.969294,-83.743355,US,
FOD,610,0.21967213114754097,20.63606557377049,13.634098360655736,16.421639344262296,0.10836065573770491,42.552624,-94.191237,US,
FSD,6936,0.17848904267589388,11.52811418685121,10.252479815455594,15.850028835063437,0.09021049596309112,43.585463,-96.741152,US,
FSM,1156,0.1903114186851211,12.120242214532873,18.402854671280277,9.103892733564015,0.13261245674740485,35.336601,-94.367401,US,
FWA,4651,0.22640292410234358,17.363362717695118,12.695248333691678,13.955966458826058,0.10260159105568695,40.978896,-85.194465,US,
GCC,717,0.11157601115760112,10.171548117154812,10.404602510460252,19.021478382147837,0.03542538354253836,44.3489,-105.539001,US,
GCK,710,0.18450704225352113,14.880281690140846,15.396197183098591,15.159859154929578,0.060985915492957746,37.92750168,-100.723999,US,
GEG,17375,0.13853237410071942,6.554877697841727,11.084397122302159,13.599873381294964,0.05993093525179856,47.6199,-117.533997,US,
GFK,1276,0.14184952978056425,7.618338557993731,8.016849529780565,13.786833855799372,0.10901253918495298,47.949299,-97.176102,US,
GGG,714,0.19187675070028012,14.198879551820728,20.48389355742297,10.607843137254902,0.19831932773109243,32.38399887,-94.71150208,US,
GJT,3922,0.1463539010708822,10.349566547679755,15.291024987251403,8.32011728709842,0.0414329423763386,39.126663,-108.529387,US,
GNV,2952,0.1527777777777778,8.284552845528456,22.547764227642276,9.801863143631437,0.15420054200542005,29.69009972,-82.27179718,US,
GPT,3320,0.1533132530120482,10.03644578313253,21.536686746987954,13.268704819277108,0.20680722891566267,30.405582,-89.069836,US,
GRB,4139,0.16936458081662237,12.849963759362165,10.69867117661271,12.692558589031167,0.07313360715148587,44.483459,-88.130805,US,
GRI,933,0.21864951768488747,20.983922829581992,12.681136120042872,15.581564844587353,0.1045016077170418,40.96749878,-98.30960083,US,
GRK,1758,0.20932878270762229,12.775881683731512,22.321956769055745,13.437599544937429,0.10341296928327645,31.0672,-97.828903,US,
GRR,17923,0.17123249456006248,10.538302739496736,11.742158120850304,12.680282318808237,0.10058583942420353,42.880798,-85.522797,US,
GSO,11741,0.14232177838344265,8.823694744910995,16.154876075291714,10.583621497317095,0.14103568690912188,36.09937,-79.937262,US,
GSP,16055,0.15496729990657115,9.031018374338212,17.280616630333228,10.247281220803488,0.15379009654313297,34.895699,-82.218903,US,
GST,84,0.13095238095238096,2.4047619047619047,14.320238095238096,10.366666666666665,0.1738095238095238,58.4253006,-135.7070007,US,
GTF,2417,0.09971038477451385,6.715349606950765,8.147827885808853,13.45800579230451,0.04443525031030203,47.481998,-111.371002,US,
GTR,721,0.08321775312066575,2.3703190013869624,19.154507628294034,10.10485436893204,0.16560332871012484,33.450298,-88.5914,US,
GUC,839,0.1501787842669845,11.34326579261025,4.276042908224076,8.1476758045292,0.03182359952324195,38.534672,-106.934566,US,
GUM,726,0.08264462809917356,1.0702479338842976,26.461845730027548,13.769421487603307,0.1482093663911846,13.485,144.797282,GU,OC
HDN,2484,0.21698872785829307,15.753220611916264,3.986755233494364,8.4414653784219,0.06042673107890499,40.481201,-107.218002,US,
HGR,286,0.3776223776223776,35.26573426573427,17.812587412587412,9.246853146853146,0.1797202797202797,39.708771,-77.728014,US,
HHH,1819,0.21275426058273778,12.761407366684992,24.626058273776803,13.584057174271578,0.17586586036283672,32.2244,-80.697502,US,
HIB,622,0.13344051446945338,8.5016077170418,8.071382636655947,13.517363344051446,0.057234726688102894,47.384831,-92.836905,US,
HLN,1544,0.11139896373056994,11.558937823834198,8.033354922279793,8.71217616580311,0.042487046632124346,46.6068,-111.983002,US,
HNL,60885,0.13716022008704937,5.787747392625441,24.949071199802905,18.507911636692125,0.08152090005748541,21.318387,-157.92567,US,
HOB,437,0.22654462242562928,24.100686498855836,16.588100686498855,12.937070938215102,0.06864988558352403,32.6875,-103.217003,US,
HOU,56264,0.23862505332006256,13.220016351485853,22.680520403810608,12.571176951514289,0.27972238020759277,29.645336,-95.276812,US,
HPN,12070,0.18914664457332228,13.191300745650373,12.538599834299916,11.458367854183926,0.13310687655343828,41.06700134,-73.70760345,US,
HRL,4255,0.16286721504112808,7.699647473560517,25.714853113983548,15.843454759106931,0.11034077555816686,26.22850037,-97.65440369,US,
HSV,8737,0.20212887718896647,12.795009728739842,18.478882911754607,10.393304337873412,0.15099004234863225,34.636244,-86.774378,US,
HTS,412,0.4320388349514563,42.78883495145631,21.22888349514563,8.931553398058252,0.08980582524271845,38.366699,-82.557999,US,
HYA,258,0.2364341085271318,26.290697674418606,24.401937984496122,16.689534883720928,0.17635658914728683,41.6693,-70.280403,US,
HYS,657,0.1202435312024353,11.010654490106544,14.157686453576865,14.939573820395736,0.043683409436834096,38.844521,-99.273148,US,
IAD,52071,0.15958979086247624,10.05066159666609,15.33838797027136,10.050219892070443,0.1339786061339325,38.9445,-77.455803,US,
IAG,374,0.3235294117647059,23.63368983957219,10.725133689839572,12.616042780748662,0.1449197860962567,43.1073,-78.946198,US,
IAH,113248,0.24315661203729866,17.6668638739757,22.920983152020344,11.037502649053407,0.26703253037581237,29.9844,-95.3414,US,
ICT,10139,0.16402012032744848,10.418680343229115,16.400867935693856,15.413048624124666,0.10599664661209193,37.650314,-97.428583,US,
IDA,3410,0.14164222873900292,11.06217008797654,11.506979472140763,10.9058357771261,0.032404692082111435,43.514599,-112.070999,US,
ILM,7914,0.1691938337124084,10.131665403083144,19.773123578468535,11.393871619914076,0.18296689411170078,34.272345,-77.905117,US,
IMT,719,0.16133518776077885,13.070931849791377,8.334631432545201,11.862169680111265,0.09388038942976357,45.81911,-88.114557,US,
IND,47015,0.16299053493565882,9.261682441773901,14.050249920238223,11.666940338189939,0.1279527810273317,39.7173,-86.294403,US,
INL,645,0.16279069767441862,13.868217054263566,8.752248062015504,12.856589147286822,0.1449612403100775,48.56620026,-93.40309906,US,
ISP,4676,0.23182207014542344,15.015397775876817,12.548075278015398,12.501432848588536,0.12653977758768178,40.796324,-73.101703,US,
ITH,786,0.11450381679389313,7.856234096692112,11.317175572519083,10.580916030534352,0.14325699745547074,42.49100113,-76.45839691,US,
ITO,6697,0.10347916977751231,2.12692250261311,23.543750933253694,9.523697177840823,0.22345826489472898,19.72135,-155.045428,US,OC
JAC,5500,0.20854545454545453,21.784181818181818,8.0494,7.806,0.0713090909090909,43.6073,-110.737999,US,
JAN,6767,0.17600118220777303,11.412294960839368,19.619077877937045,10.080301462982119,0.15293335303679623,32.311199,-90.075897,US,
JAX,29678,0.18811914549497943,12.60654356762585,21.67174337893389,11.057177033492824,0.17522744120223732,30.492469,-81.687813,US,
JFK,120770,0.20168088101349674,12.728260329552041,13.71821064833982,15.096089260577958,0.11215450857000911,40.639447,-73.779317,US,
JLN,609,0.1625615763546798,18.357963875205254,15.346141215106732,11.348768472906404,0.11756978653530377,37.151798,-94.498299,US,
JMS,575,0.13391304347826086,16.09391304347826,10.592869565217391,16.28782608695652,0.05947826086956522,46.92969894,-98.67819977,US,
JNU,4638,0.13993100474342388,1.5433376455368693,7.212181974989219,7.7532557136696845,0.37095730918499353,58.354935,-134.574416,US,
JST,714,0.18627450980392157,19.53361344537815,12.236274509803923,12.72563025210084,0.13207282913165266,40.31610107,-78.83390045,US,
KOA,16121,0.11202778983933999,4.373487997022517,24.930785931393835,7.075001550772285,0.1243161094224924,19.738783,-156.045603,US,OC
KTN,2460,0.15691056910569107,1.5357723577235773,9.310447154471545,13.411463414634145,0.3178048780487805,55.35559845,-131.7140045,US,
LAN,1280,0.21875,16.32421875,12.802734375,13.06015625,0.11195312500000001,42.777582,-84.585721,US,
LAR,604,0.13741721854304637,10.228476821192054,9.231953642384106,14.900165562913909,0.03410596026490066,41.31209946,-105.6750031,US,
LAS,186853,0.23499221313010762,12.805162346871604,22.65893349317378,11.066372496026288,0.013471017323778586,36.083361,-115.151817,US,
LAW,1049,0.1601525262154433,13.587225929456626,18.92049571020019,14.55252621544328,0.06053384175405148,34.567699,-98.416603,US,
LAX,191903,0.1800805615336915,10.195468544004003,16.633967160492542,11.98410811712167,0.04586119028884384,33.942501,-118.407997,US,
LBB,6084,0.16420118343195267,10.439184746877055,18.65473372781065,15.698652202498357,0.039792899408284024,33.663601,-101.822998,US,
LBE,561,0.16399286987522282,4.996434937611408,16.755258467023175,11.519786096256684,0.15311942959001784,40.275902,-79.4048,US,
LBF,616,0.1185064935064935,7.498376623376624,12.08896103896104,14.111850649350648,0.05113636363636364,41.12620163,-100.6839981,US,
LBL,545,0.1688073394495413,10.429357798165137,19.586422018348625,16.57467889908257,0.04091743119266055,37.0442009,-100.9599991,US,
LCH,1059,0.18413597733711048,21.098205854579792,22.146458923512746,12.365533522190747,0.1813975448536355,30.12610054,-93.22329712,US,
LCK,932,0.2478540772532189,16.584763948497855,17.11137339055794,11.50675965665236,0.13025751072961375,39.813801,-82.927803,US,
LEX,8993,0.17424663627265652,11.718225286333816,15.296397197820527,10.956844212165016,0.14977204492382964,38.035066,-84.606738,US,
LFT,3176,0.18293450881612092,15.798488664987406,21.81212216624685,11.78249370277078,0.21876574307304786,30.205299,-91.987602,US,
LGA,158152,0.17929586726693308,10.579164348221964,14.279033461480097,13.256704309777936,0.1141939400070818,40.777199,-73.872597,US,
LGB,17530,0.1667997718197376,7.373074729035938,18.843696520250997,9.1368910439247,0.05771819737592698,33.816523,-118.149891,US,
LIH,15792,0.11220871327254306,3.393743667679838,24.05595238095238,16.580072188449847,0.19568135764944275,21.974393,-159.337146,US,OC
LIT,12501,0.19230461563074955,12.409407247420207,18.786049116070714,10.351931845452365,0.17583393328533717,34.729222,-92.223591,US,
LNK,1843,0.17580032555615843,13.271296798697776,17.02539338035811,14.26321215409658,0.061801410743353234,40.844882,-96.76178,US,
LRD,1760,0.18409090909090908,13.60965909090909,26.331647727272724,14.747954545454546,0.046875,27.5438,-99.461601,US,
LSE,325,0.14153846153846153,10.018461538461539,15.028615384615385,10.84676923076923,0.1286153846153846,43.879002,-91.256699,US,
LWS,1091,0.10999083409715857,11.284142988084326,11.226764436296975,5.594225481209899,0.07470210815765353,46.37450027,-117.0149994,US,
