Origin,Dest,total_flights,delay_rate,avg_delay,avg_weather_delay
ATL,BTV,361,0.16620498614958448,10.67590027700831,3.972299168975069
ATL,BUF,1316,0.19756838905775076,9.927051671732523,0.8320668693009119
ATL,BUR,201,0.18407960199004975,22.313432835820894,0.0
ATL,BWI,5991,0.24636955433149724,13.541812719078617,0.2829243865798698
ATL,BZN,359,0.12534818941504178,5.5264623955431755,1.116991643454039
ATL,CAE,2215,0.1399548532731377,5.66410835214447,0.7841986455981941
ATL,CHA,2373,0.15128529287821324,6.3952802359882,0.876527602191319
ATL,CHO,1114,0.12118491921005387,4.490125673249551,0.926391382405745
ATL,CHS,2771,0.16167448574521834,7.0754240346445325,0.4229520028870444
ATL,CID,361,0.15789473684210525,11.340720221606649,6.138504155124654
ATL,CLE,2982,0.22367538564721665,11.616700201207243,0.14453386988598257
ATL,CLT,5321,0.18079308400676564,10.451043037023116,0.2815260289419282
ATL,CMH,3062,0.17178314826910515,7.862834748530372,0.26322664924885697
ATL,COS,455,0.210989010989011,11.131868131868131,0.15824175824175823
ATL,CRW,1059,0.22662889518413598,21.01322001888574,3.7752596789423984
ATL,CSG,979,0.18181818181818182,12.673135852911134,3.7262512768130747
ATL,CVG,2804,0.162981455064194,8.175106990014266,0.1804564907275321
ATL,DAB,1425,0.1543859649122807,7.251929824561404,0.1375438596491228
ATL,DAL,3509,0.21145625534340268,10.534625249358792,0.1578797378170419
ATL,DAY,1342,0.13487332339791355,4.953055141579732,0.20268256333830104
ATL,DCA,6764,0.20180366646954465,12.595653459491425,0.4976345357776464
ATL,DEN,6001,0.2142976170638227,11.417597067155475,0.22012997833694384
ATL,DFW,6383,0.25567914773617423,18.657057809807302,0.6111546294845683
ATL,DHN,759,0.17786561264822134,13.430830039525691,3.160737812911726
ATL,DSM,1169,0.1377245508982036,6.006843455945252,0.20444824636441403
ATL,DTW,4913,0.22491349480968859,12.635456950946468,0.36576429879910444
ATL,ECP,2348,0.15034071550255537,5.382453151618399,0.5400340715502555
ATL,EGE,179,0.1452513966480447,7.972067039106145,0.8938547486033519
ATL,ELP,709,0.19887165021156558,8.165021156558533,0.38787023977433005
ATL,EVV,990,0.1484848484848485,9.71111111111111,1.690909090909091
ATL,EWR,5905,0.23674851820491108,17.523624047417442,0.8294665537679933
ATL,EYW,1438,0.1502086230876217,11.150904033379694,4.17663421418637
ATL,FAT,200,0.235,11.02,1.26
ATL,FAY,862,0.16821345707656613,9.187935034802784,1.2668213457076567
ATL,FLL,7598,0.27020268491708344,17.15727823111345,0.27691497762569095
ATL,FSD,363,0.2066115702479339,15.741046831955924,2.608815426997245
ATL,FWA,1010,0.20297029702970298,17.95049504950495,4.286138613861386
ATL,GEG,465,0.16989247311827957,5.929032258064516,0.3311827956989247
ATL,GNV,1671,0.14422501496110113,5.643327348892878,0.11071214841412327
ATL,GPT,1217,0.13968775677896467,6.8923582580115035,0.6294165981922761
ATL,GRB,362,0.23204419889502761,17.85635359116022,3.9392265193370166
ATL,GRR,1391,0.17613227893601727,6.762041696621136,0.310567936736161
ATL,GSO,2496,0.13822115384615385,4.975961538461538,0.39863782051282054
ATL,GSP,3095,0.1567043618739903,6.489499192245558,0.48852988691437804
ATL,GTR,723,0.11894882434301521,5.213001383125865,1.4771784232365146
ATL,HDN,108,0.12037037037037036,4.277777777777778,0.0
ATL,HHH,183,0.17486338797814208,22.05464480874317,4.448087431693989
ATL,HNL,366,0.14207650273224043,10.887978142076502,0.48360655737704916
ATL,HOU,3194,0.191296180338134,9.60551033187226,0.31778334376956796
ATL,HPN,1835,0.14986376021798364,6.93133514986376,0.8888283378746594
ATL,HSV,2377,0.15187210769877998,6.228859907446361,0.4724442574673959
ATL,IAD,3231,0.1671309192200557,9.585886722376973,0.42556484060662336
ATL,IAH,4474,0.21546714349575324,13.12941439427805,0.7876620473848904
ATL,ICT,1028,0.14007782101167315,4.488326848249027,0.32587548638132297
ATL,ILM,1279,0.12197028928850664,4.133698201720094,0.30414386239249414
ATL,IND,3227,0.1722962503873567,8.303377750232414,0.4930275797954757
ATL,ISP,41,0.2926829268292683,15.707317073170731,0.0
ATL,JAC,217,0.22580645161290322,11.465437788018432,1.6543778801843319
ATL,JAN,2807,0.14535090844317777,6.019593872461703,0.3177769861061632
ATL,JAX,4478,0.23112996873604288,10.776239392585977,0.18423403305046895
ATL,JFK,3506,0.2529948659440958,17.236166571591557,0.336280661722761
ATL,LAS,4914,0.24297924297924298,13.452584452584453,0.29365079365079366
ATL,LAX,5196,0.24403387220939185,14.537143956889915,0.279445727482679
ATL,LEX,2062,0.13870029097963144,5.631910766246363,0.2289039767216295
ATL,LFT,1056,0.1581439393939394,12.236742424242424,3.321022727272727
ATL,LGA,7976,0.22780842527582748,14.116474423269809,0.4222668004012036
ATL,LIT,2217,0.14298601714027967,6.162381596752368,0.4307622913847542
ATL,MCI,3254,0.1856177012907191,8.781807006760909,0.5792870313460357
ATL,MCO,8771,0.2613156994641432,17.121536882909588,0.2627978565727967
ATL,MDT,983,0.1363173957273652,4.863682604272634,0.3082400813835198
ATL,MDW,3767,0.21874170427395806,12.811521104327051,0.3989912397132997
ATL,MEM,3296,0.17020631067961164,7.34375,0.3874393203883495
ATL,MGM,1387,0.15861571737563085,10.599855803893295,2.283345349675559
ATL,MIA,6603,0.2659397243677116,20.568226563683176,0.22838103892170225
ATL,MKE,2461,0.17350670459162942,7.724908573750508,0.25071109305160505
ATL,MLB,1375,0.16654545454545455,6.748363636363637,0.184
ATL,MLI,715,0.15384615384615385,7.511888111888112,3.046153846153846
ATL,MLU,855,0.15789473684210525,7.0549707602339184,0.6970760233918128
ATL,MOB,1477,0.14556533513879485,7.437373053486797,1.7603249830737981
ATL,MSN,1006,0.13518886679920478,4.965208747514911,0.14214711729622267
ATL,MSP,3678,0.18053289831430125,9.91979336595976,0.2751495377922784
ATL,MSY,4554,0.2235397452788757,12.07685551163812,0.9040404040404041
ATL,MTJ,102,0.049019607843137254,-0.9215686274509803,1.7156862745098038
ATL,MYR,1377,0.14814814814814814,7.326071169208424,0.24691358024691357
ATL,OAJ,846,0.11347517730496454,6.747044917257683,2.160756501182033
ATL,OAK,154,0.33116883116883117,15.396103896103897,0.19480519480519481
ATL,OGG,41,0.2682926829268293,17.51219512195122,0.0
ATL,OKC,2016,0.16319444444444445,7.513888888888889,0.6046626984126984
ATL,OMA,1987,0.1680926019124308,6.904881731253146,0.41066935078007044
ATL,ONT,905,0.20994475138121546,11.51049723756906,0.6917127071823205
ATL,ORD,5584,0.20755730659025787,14.695200573065902,0.4491404011461318
ATL,ORF,2466,0.21573398215733983,11.716139497161395,0.6508515815085159
ATL,PBI,4148,0.2345708775313404,12.454918032786885,0.3866923818707811
ATL,PDX,1339,0.17475728155339806,8.039581777445855,0.44958924570575054
ATL,PHL,5761,0.23207776427703525,14.499739628536712,0.33171324422843257
ATL,PHX,3651,0.20624486442070666,14.208162147356889,0.2689674061900849
ATL,PIT,2829,0.16967126193001061,7.952633439377872,0.3527748320961471
ATL,PNS,2568,0.16160436137071651,7.4766355140186915,0.8220404984423676
ATL,PSP,124,0.10483870967741936,2.7903225806451615,0.0
ATL,PVD,993,0.21148036253776434,12.110775427995971,0.6807653575025177
ATL,PWM,501,0.18363273453093812,9.548902195608783,1.6287425149700598
