id,ident,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,local_code
3288,VA1G,REW,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,AS,IN,IN-MP,Rewa,VA1G
3299,VA2C,GDB,Gondia Airport,21.526817,80.290347,AS,IN,IN-MM,Gondia,VA2C
26431,VAAH,AMD,Sardar Vallabh Patel International Airport,23.0772,72.634697,AS,IN,IN-GJ,Ahmedabad,
26432,VAAK,AKD,Akola Airport,20.698931,77.056883,AS,IN,IN-MM,Akola,
26433,VAAU,IXU,Aurangabad Airport,19.862875,75.396312,AS,IN,IN-MM,Aurangabad,
26434,VABB,BOM,Chhatrapati Shivaji Maharaj International Airport,19.088699,72.867897,AS,IN,IN-MM,Mumbai,
26436,VABJ,BHJ,Bhuj Airport,23.28779984,69.67019653,AS,IN,IN-GJ,Bhuj,
26437,VABM,IXG,Belagavi Airport,15.8593,74.618301,AS,IN,IN-KA,Belgaum,
26438,VABO,BDQ,Vadodara International Airport,22.336201,73.226303,AS,IN,IN-GJ,Vadodara,
26439,VABP,BHO,Raja Bhoj International Airport,23.2875,77.337402,AS,IN,IN-MP,Bhopal,
26440,VABV,BHU,Bhavnagar Airport,21.75219917,72.18520355,AS,IN,IN-GJ,Bhavnagar,
26441,VADN,NMB,Daman Airport,20.434401,72.843201,AS,IN,IN-DH,Daman,
26445,VAHB,HBX,Hubballi Airport,15.361084,75.082096,AS,IN,IN-KA,Hubballi,
512065,VAHS,HSR,Rajkot International Airport,22.378824,71.039391,AS,IN,IN-GJ,Rajkot,
26446,VAID,IDR,Devi Ahilya Bai Holkar International Airport,22.721404,75.80051,AS,IN,IN-MP,Indore,
26447,VAJB,JLR,Jabalpur Airport,23.177799,80.052002,AS,IN,IN-MP,Jabalpur,
26448,VAJM,JGA,Jamnagar Airport,22.46549988,70.01260376,AS,IN,IN-GJ,Jamnagar,
26449,VAKE,IXY,Kandla Airport,23.1127,70.100304,AS,IN,IN-GJ,Kandla,
26450,VAKJ,HJR,Khajuraho Airport,24.8172,79.918602,AS,IN,IN-MP,Khajuraho,
26451,VAKP,KLH,Kolhapur Airport,16.6647,74.289398,AS,IN,IN-MM,Kolhapur,
26452,VAKS,IXK,Keshod Airport,21.317101,70.270401,AS,IN,IN-GJ,Keshod,
3341,VALT,LTU,Murod Kond Airport,18.411501,76.464699,AS,IN,IN-MM,Latur,
30180,VAND,NDC,Nanded Airport,19.1833,77.316704,AS,IN,IN-MM,Nanded,VOND
26453,VANP,NAG,Dr. Babasaheb Ambedkar International Airport,21.092199,79.047203,AS,IN,IN-MM,Nagpur,
3301,VAOZ,ISK,Nashik International Airport,20.119101,73.912903,AS,IN,IN-MM,Nashik,
26455,VAPO,PNQ,Pune International Airport,18.5821,73.919701,AS,IN,IN-MM,Pune,
26456,VAPR,PBD,Porbandar Airport,21.649524,69.656405,AS,IN,IN-GJ,Porbandar,
26457,VARG,RTC,Ratnagiri Airport,17.013599,73.327797,AS,IN,IN-MM,,
26458,VARK,RAJ,Rajkot Airport,22.3092,70.779503,AS,IN,IN-GJ,Rajkot,
26459,VARP,RPR,Swami Vivekananda Airport,21.180401,81.7388,AS,IN,IN-CT,Raipur,
327452,VASD,SAG,Shirdi International Airport,19.689211,74.373655,AS,IN,IN-MM,Kakadi,
26460,VASL,SSE,Solapur Airport,17.62800026,75.93479919,AS,IN,IN-MM,Solapur,
26461,VASU,STV,Surat International Airport,21.115531,72.743251,AS,IN,IN-GJ,Surat,
26462,VAUD,UDR,Maharana Pratap Airport,24.61770058,73.89610291,AS,IN,IN-RJ,Udaipur,
26463,VCBI,CMB,Bandaranaike International Colombo Airport,7.180759907,79.88410187,AS,LK,LK-1,Colombo,
26464,VCCA,ACJ,Anuradhapura Airport,8.301542,80.42848,AS,LK,LK-7,Anuradhapura,
26465,VCCB,BTC,Batticaloa International Airport,7.705073,81.677163,AS,LK,LK-5,Batticaloa,
26466,VCCC,RML,Colombo Ratmalana International Airport,6.821638,79.885859,AS,LK,LK-1,Colombo,
26467,VCCG,ADP,Ampara Airport,7.336745,81.623869,AS,LK,LK-5,Ampara,
31927,VCCH,HIM,Hingurakgoda Air Force Base,8.04981,80.9814,AS,LK,LK-7,Polonnaruwa Town,
26468,VCCJ,JAF,Jaffna International Airport,9.79233,80.070099,AS,LK,LK-4,Jaffna,
26469,VCCK,KCT,Koggala Airport,5.99368,80.32029724,AS,LK,LK-3,Galle,
26471,VCCT,TRR,China Bay Airport,8.539159,81.18128,AS,LK,LK-5,Trincomalee,
